1992 Ferrari 360 Spider red,40
Boeing X-32A JSF,27
1972 Alfa Romeo GTA,27
1952 Alpine Renault 1300,27
1934 Ford V8 Coupe,27
HMS Bounty,26
Corsair F4U ( Bird Cage),26
American Airlines: MD-11S,26
1999 Yamaha Speed Boat,26
1996 Moto Guzzi 1100i,26
1995 Honda Civic,26
1980s Black Hawk Helicopter,26
1969 Harley Davidson Ultimate Chopper,26
1941 Chevrolet Special Deluxe Cabriolet,26
1940 Ford Delivery Sedan,26
1937 Horch 930V Limousine,26
1913 Ford Model T Speedster,26
1900s Vintage Bi-Plane,26
18th Century Vintage Horse Carriage,26
America West Airlines B757-200,25
ATA: B757-300,25
2003 Harley-Davidson Eagle Drag Bike,25
2002 Suzuki XREO,25
1997 BMW R 1100 S,25
1993 Mazda RX-7,25
1962 LanciaA Delta 16V,25
1960 BSA Gold Star DBD34,25
1948 Porsche 356-A Roadster,25
1940s Ford truck,25
1940 Ford Pickup Truck,25
1937 Lincoln Berline,25
1936 Mercedes-Benz 500K Special Roadster,25
1936 Harley Davidson El Knucklehead,25
1912 Ford Model T Delivery Wagon,25
The Queen Mary,24
Pont Yacht,24
P-51-D Mustang,24
F/A 18 Hornet 1/72,24
2002 Yamaha YZR M1,24
1997 BMW F650 ST,24
1969 Dodge Charger,24
1939 Chevrolet Deluxe Coupe,24
1936 Chrysler Airflow,24
1932 Model A Ford J-Coupe,24
1917 Maxwell Touring Car,24
1917 Grand Touring Sedan,24
18th century schooner,24
The USS Constitution Ship,23
The Schooner Bluenose,23
American Airlines: B767-300,23
2001 Ferrari Enzo,23
1996 Peterbilt 379 Stake Bed with Outrigger,23
1980’s GM Manhattan Express,23
1974 Ducati 350 Mk3 Desmo,23
1970 Plymouth Hemi Cuda,23
1968 Ford Mustang,23
1958 Setra Bus,23
1939 Cadillac Limousine,23
1938 Cadillac V-16 Presidential Limousine,23
1932 Alfa Romeo 8C2300 Spider Sport,23
1930 Buick Marquette Phaeton,23
1928 Ford Phaeton Deluxe,23
1926 Ford Fire Engine,23
1911 Ford Town Car,23
The Titanic,22
The Mayflower,22
Diamond T620 Semi-Skirted Tanker,22
1982 Ducati 900 Monster,22
1982 Camaro Z28,22
1971 Alpine Renault 1600s,22
1969 Ford Falcon,22
1969 Corvair Monza,22
1968 Dodge Charger,22
1965 Aston Martin DB5,22
1964 Mercedes Tour Bus,22
1962 City of Detroit Streetcar,22
1961 Chevrolet Impala,22
1956 Porsche 356A Coupe,22
1950's Chicago Surface Lines Streetcar,22
1928 British Royal Navy Airplane,22
1904 Buick Runabout,22
1900s Vintage Tri-Plane,22
1999 Indy 500 Monte Carlo SS,21
1998 Chrysler Plymouth Prowler,21
1982 Lamborghini Diablo,21
1982 Ducati 996 R,21
1970 Triumph Spitfire,21
1969 Dodge Super Bee,21
1966 Shelby Cobra 427 S/C,21
1962 Volkswagen Microbus,21
1957 Vespa GS150,21
1957 Corvette Convertible,21
1957 Chevy Pickup,21
1948 Porsche Type 356 Roadster,21
1936 Mercedes Benz 500k Roadster,21
1928 Mercedes-Benz SSK,21
1903 Ford Model A,21
Collectable Wooden Train,20
1992 Porsche Cayenne Turbo Silver,20
1976 Ford Gran Torino,20
1970 Dodge Coronet,20
1970 Chevy Chevelle SS 454,20
1957 Ford Thunderbird,20
1954 Greyhound Scenicruiser,20
1958 Chevy Corvette Limited Edition,19
2002 Chevy Corvette,18
1969 Chevrolet Camaro Z28,18
1952 Citroen-15CV,18
1949 Jaguar XK 120,18
